Date,Open,High,Low,Close,Volume,Variation,Percentual Variation,RSI,Stochastic_oscillator,OBV,ATR,EMA_14,EMA_12,EMA_26,MACD,Signal_MACD,Money_flow,Chaikin,0
2023-02-24,7.935275,8.109539,7.329152,7.455675,526136614,-0.4795999999999996,-6.04389891969717,59.75614840286793,0.5259578111378898,2533279274,0.058319225779391956,7.520641386042747,7.56043741159798,7.309610044667549,-0.25082736693043106,-0.23162819096720946,-355533098.5310793,-433437109.6321853,7.376634
2023-02-25,7.456675,7.473256,7.209807,7.376634,311632712,-0.08004099999999958,-1.073414088719162,52.427095802888196,0.4835030731491682,2221646562,0.022983444698528033,7.501440401237047,7.532159963659829,7.314574782099583,-0.21758518156024653,-0.22881958908581687,83045198.6758732,-472625518.6222139,7.491861
2023-02-26,7.376264,7.529251,7.316313,7.491861,235447983,0.11559700000000017,1.5671483558614518,56.815648650693426,0.5453941435332271,2457094545,0.016851531764180593,7.500163147738774,7.5259601230967785,7.327707094536651,-0.19825302856012783,-0.22270627698067907,152762881.3800914,-472757679.8844877,7.27909
2023-02-27,7.491159,7.496461,7.170919,7.27909,298939373,-0.21206899999999962,-2.8309237595944716,54.89935559680281,0.43110994853824663,2158155172,0.024456680840298645,7.4706867280402705,7.4879801041588125,7.324105828274677,-0.16387427588413583,-0.21093987676137044,-100276399.14849639,-459953523.8732729,7.192696
2023-02-28,7.279601,7.413753,7.140398,7.192696,304916168,-0.08690500000000068,-1.1938154302687836,53.72451354143454,0.35623048171287164,1853239004,0.021272262917164157,7.433621297634901,7.442551780442072,7.314371766920997,-0.12818001352107444,-0.19438790411331125,-188243667.00997692,-460948513.6679463,7.528766
2023-03-01,7.19333,7.528766,7.170287,7.528766,297633777,0.3354360000000005,4.6631532266697135,57.384676991076084,0.4936020469445971,2150872781,0.02712509020836887,7.446307257950248,7.455815506527907,7.330252821223145,-0.12556268530476178,-0.18062286035160136,297633777.0,-484103718.54529357,7.26775
2023-03-02,7.528774,7.562864,7.187428,7.26775,268246764,-0.2610239999999999,-3.467018667315554,55.24455871557971,0.20257756648582567,1882626017,0.028754363586312098,7.422499623556882,7.42688235167746,7.325622982614023,-0.10125936906343647,-0.16475016209396837,-153467592.1677402,-468342516.7059593,6.948714
2023-03-03,7.267648,7.271392,6.748424,6.948714,346250431,-0.3189340000000005,-4.388407363702817,55.07333005298992,-0.03507820525331307,1536375586,0.03940874025616513,7.359328207082631,7.353317989880927,7.297703798716688,-0.05561419116423938,-0.14292296790802256,-81031531.08646801,-392495607.6595989,6.852447
2023-03-04,6.948976,6.996817,6.739046,6.852447,216105874,-0.09652900000000031,-1.3891111438577468,45.11234828139916,0.06543113040623101,1320269712,0.021227124304011795,7.29174404613828,7.276260914514631,7.264721813626562,-0.011539100888068532,-0.11664619450403176,-25963288.39127035,-380594983.0169222,6.944227
2023-03-05,6.852968,7.004215,6.824523,6.944227,191609356,0.09125899999999998,1.3316711824715946,42.14971261227323,0.12830331912402962,1511879068,0.014351366021715143,7.24540843998651,7.225178773820073,7.240981457061632,0.0158026832415592,-0.09015641895491357,63676425.78910466,-389784697.19735676,6.8622
