Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,3.517074,3.799483,3.513383,3.799483,3.799483,25725279
2023-03-02,3.799886,3.811458,3.550350,3.739154,3.739154,21463244
2023-03-03,3.739203,3.784495,3.359091,3.601231,3.601231,39644047
2023-03-04,3.601401,3.675078,3.137687,3.259939,3.259939,32561328
2023-03-05,3.260276,3.487676,3.231660,3.344785,3.344785,26136476
2023-03-06,3.345131,3.431162,3.268736,3.321419,3.321419,25240980
2023-03-07,3.321526,3.382496,3.103038,3.176014,3.176014,26450764
2023-03-08,3.175803,3.205246,2.874468,2.874468,2.874468,40178276
2023-03-09,2.874804,3.008523,2.604470,2.652010,2.652010,32865547
2023-03-10,2.652580,3.074015,2.467875,3.045169,3.045169,71516514
2023-03-11,3.045824,3.241898,2.841957,3.136620,3.136620,75550675
2023-03-12,3.136570,3.757581,3.007124,3.721918,3.721918,84213863
2023-03-13,3.722874,4.344381,3.594897,4.151360,4.151360,120003418
2023-03-14,4.154331,4.503860,4.085418,4.281713,4.281713,101151235
2023-03-15,4.282654,4.302548,3.869132,4.034237,4.034237,62397253
2023-03-16,4.037736,4.288415,3.996232,4.078189,4.078189,53229773
2023-03-17,4.078738,4.837760,4.019758,4.837501,4.837501,79581992
2023-03-18,4.840810,4.984155,4.423960,4.431789,4.431789,61652859
2023-03-19,4.433149,4.625683,4.289958,4.289958,4.289958,50533787
2023-03-20,4.290309,4.313699,3.972245,3.984179,3.984179,48404525
2023-03-21,3.985354,4.444477,3.892194,4.242775,4.242775,53635589
2023-03-22,4.242628,4.354242,3.971533,4.111062,4.111062,60393021
2023-03-23,4.111168,4.315732,4.105378,4.240379,4.240379,42689603
2023-03-24,4.240489,4.491572,4.054248,4.172690,4.172690,52010462
2023-03-25,4.173502,4.237346,3.801836,3.835895,3.835895,41529913
2023-03-26,3.835391,4.080968,3.796802,4.057077,4.057077,32423986
2023-03-27,4.057417,4.064644,3.717707,3.803946,3.803946,41068981
2023-03-28,3.803301,4.306382,3.661976,4.190853,4.190853,56009270
2023-03-29,4.190392,4.461392,4.185998,4.344844,4.344844,54803664
2023-03-30,4.344188,4.921521,4.206828,4.690071,4.690071,89559424
2023-03-31,4.690780,4.826188,4.586648,4.725227,4.725227,53501001
2023-04-01,4.726772,5.347200,4.694199,4.995526,4.995526,87645717
2023-04-02,5.173770,5.273031,4.865286,5.173576,5.173576,61446374
2023-04-03,5.170939,5.946493,4.882384,5.877152,5.877152,130997316
2023-04-04,5.877880,5.877880,5.407863,5.471179,5.471179,94247678
2023-04-05,5.471504,5.633962,5.279589,5.515760,5.515760,59519610
2023-04-06,5.516633,5.823293,5.180590,5.630778,5.630778,74764772
2023-04-07,5.627181,5.959961,5.579848,5.585234,5.585234,72862844
2023-04-08,5.584783,5.616086,5.378563,5.411595,5.411595,34183117
2023-04-09,5.411994,5.729113,5.411994,5.695571,5.695571,43281736
2023-04-10,5.697743,6.374373,5.594675,6.322458,6.322458,81580239
2023-04-11,6.320857,6.920099,6.209060,6.637156,6.637156,96237311
2023-04-12,6.639554,6.976661,6.374405,6.886138,6.886138,103084712
2023-04-13,6.578304,6.891869,6.549765,6.742549,6.742549,71426122
2023-04-14,6.742881,8.799527,6.725410,8.026932,8.026932,284636880
2023-04-15,8.040816,8.302566,7.699298,8.183109,8.183109,162745740
2023-04-16,8.185109,9.613753,8.185109,9.339864,9.339864,216512595
2023-04-17,9.334610,9.876631,8.862710,9.048698,9.048698,270224059
2023-04-18,9.049181,9.380043,8.580245,8.644836,8.644836,145455195
2023-04-19,8.637790,9.170075,7.998290,8.299472,8.299472,207326628
2023-04-20,8.300343,8.414523,7.680274,7.896800,7.896800,139580119
2023-04-21,7.900807,7.995673,7.262287,7.274377,7.274377,116126753
2023-04-22,7.274289,7.622632,7.113864,7.604893,7.604893,85160309
2023-04-23,7.607089,7.607089,6.812219,6.888841,6.888841,80784588
2023-04-24,6.886691,7.030204,6.455821,6.986230,6.986230,134176852
2023-04-25,6.985690,8.328426,6.906135,8.292557,8.292557,210724934
2023-04-26,8.288032,8.967151,7.997284,8.376942,8.376942,296145161
2023-04-27,8.377144,9.242745,8.348782,8.906955,8.906955,233179814
2023-04-28,8.908388,8.999794,8.313310,8.420059,8.420059,131563473
2023-04-29,8.418686,8.599900,8.005569,8.079471,8.079471,99836181
2023-04-30,8.077664,8.381605,7.759189,7.794995,7.794995,123540899
2023-05-01,7.795691,8.096447,7.574319,7.872372,7.872372,118816292
2023-05-02,7.872059,8.073468,7.488769,7.864723,7.864723,107166238
2023-05-03,7.863606,7.984138,7.336542,7.958848,7.958848,94238486
2023-05-04,7.953498,7.953498,7.340049,7.380837,7.380837,64186351
2023-05-05,7.382536,7.957909,7.336011,7.832533,7.832533,87990999
2023-05-06,7.832086,7.911563,7.142876,7.263855,7.263855,58389092
2023-05-07,7.261695,7.590964,7.194397,7.319726,7.319726,46315555
2023-05-08,7.315370,7.374174,6.527608,6.656114,6.656114,70341042
2023-05-09,6.656763,6.691190,6.204460,6.292138,6.292138,55760304
2023-05-10,6.291588,6.870756,6.180103,6.663228,6.663228,95268081
2023-05-11,6.663438,6.663438,5.661261,5.808156,5.808156,73912545
2023-05-12,5.806659,6.153028,5.622380,6.139013,6.139013,80263692
2023-05-13,6.138863,6.265596,5.935520,6.037060,6.037060,42999976
2023-05-14,6.034403,6.345206,5.916031,6.099519,6.099519,36500364
2023-05-15,6.099624,6.487056,5.990094,6.406289,6.406289,56249481
2023-05-16,6.407159,6.442067,6.026217,6.147085,6.147085,41429473
2023-05-17,6.149301,6.731097,6.002877,6.613492,6.613492,67343211
2023-05-18,6.612433,6.707534,6.296177,6.654325,6.654325,54568131
2023-05-19,6.654185,7.182119,6.482279,7.022026,7.022026,94405044
2023-05-20,7.022114,7.508919,6.941179,7.225315,7.225315,74987257
2023-05-21,7.224929,7.281262,6.708960,6.737106,6.737106,52648483
2023-05-22,6.736507,6.941350,6.587464,6.674914,6.674914,47090490
2023-05-23,6.674652,7.038338,6.609865,6.805209,6.805209,52023070
2023-05-24,6.805505,6.809405,6.334803,6.383459,6.383459,55617709
2023-05-25,6.383544,6.455819,6.142350,6.303295,6.303295,43906855
2023-05-26,6.302482,6.571653,6.175752,6.405260,6.405260,41004390
2023-05-27,6.405032,6.503506,6.343188,6.386384,6.386384,23866166
2023-05-28,6.386443,7.311153,6.355768,7.134160,7.134160,82220782
2023-05-29,7.132210,7.680794,6.961579,7.440928,7.440928,124169701
2023-05-30,7.434566,7.770725,7.364064,7.617050,7.617050,72965149
2023-05-31,7.615890,7.722496,7.076710,7.263262,7.263262,58538574
2023-06-01,7.264508,7.477784,6.979979,7.288087,7.288087,52962930
2023-06-02,7.287406,8.168480,7.235528,7.881107,7.881107,93409932
2023-06-03,7.881901,8.131557,7.799909,7.936009,7.936009,45628202
2023-06-04,7.935947,8.087278,7.764630,7.808862,7.808862,40692683
2023-06-05,7.809722,7.839610,6.846052,7.115040,7.115040,76757864
2023-06-06,7.110025,7.480038,6.919127,7.394373,7.394373,59993163
2023-06-07,7.393216,7.393216,6.846069,6.898940,6.898940,43735881
2023-06-08,6.899302,7.150485,6.658944,6.959657,6.959657,47256549
